Median Home Value,Median Household Income,Zip Code
216600,44017,96002
227000,45722,96003
158500,57321,96006
177100,38258,96007
209400,51500,96008
285000,29773,96010
138900,37629,96013
170100,40000,96014
155300,23167,96015
220800,58241,96016
176800,31042,96017
167700,39111,96019
283600,43750,96020
149400,41099,96021
228700,53663,96022
105900,29792,96023
290300,41776,96024
167100,32000,96025
224400,43325,96027
230100,39212,96028
283300,59000,96029
245800,28125,96031
218900,45493,96032
161300,29135,96033
301400,35250,96034
172200,42150,96035
183900,39792,96038
122900,28750,96039
326100,49408,96040
248600,34844,96041
142800,36645,96044
198300,28646,96047
192000,42250,96048
210300,28250,96050
238800,46304,96051
210800,33438,96052
136300,35750,96055
215100,46184,96056
194300,41445,96057
215800,30000,96058
204100,46667,96059
137500,69688,96061
287200,59271,96062
168800,41940,96064
325000,35156,96065
308900,44692,96067
200000,35813,96069
143800,38516,96071
360100,79188,96073
88800,19306,96075
346400,31316,96076
